date,fuel_price,open,max,min,Объём,change_percent
"11.12.2024","73,63","72,17","73,75","72,17","295,77K","1,99%"
"10.12.2024","72,19","71,94","72,72","71,53","265,90K","0,07%"
"09.12.2024","72,14","70,92","72,65","70,92","231,21K","1,43%"
"06.12.2024","71,12","72,12","72,19","70,85","290,06K","-1,35%"
"05.12.2024","72,09","72,52","72,92","71,80","318,76K","-0,30%"
"04.12.2024","72,31","73,62","74,28","72,25","340,35K","-1,78%"
"03.12.2024","73,62","71,93","73,93","71,68","365,42K","2,49%"
"02.12.2024","71,83","72,00","72,89","71,52","289,49K","-1,52%"
"29.11.2024","72,94","73,11","73,47","72,56","23,33K","-0,46%"
"28.11.2024","73,28","72,87","73,49","72,38","49,82K","0,62%"
"27.11.2024","72,83","72,88","73,37","72,27","106,53K","0,03%"
"26.11.2024","72,81","72,85","74,36","72,09","200,70K","-0,27%"
"25.11.2024","73,01","75,38","75,38","72,84","282,16K","-2,17%"
"22.11.2024","74,63","73,80","74,86","72,95","359,21K","1,17%"
"21.11.2024","73,77","72,76","73,99","72,58","299,22K","1,77%"
"20.11.2024","72,49","73,05","73,60","72,39","219,36K","-0,69%"
"19.11.2024","72,99","72,86","73,60","72,36","288,93K","-0,03%"
"18.11.2024","73,01","70,60","73,17","70,45","229,40K","3,15%"
"15.11.2024","70,78","71,99","72,20","70,58","206,25K","-2,02%"
"14.11.2024","72,24","71,79","72,88","71,48","195,65K","0,36%"
"13.11.2024","71,98","71,54","72,37","70,49","238,70K","0,46%"
"12.11.2024","71,65","71,81","72,57","71,36","220,05K","0,00%"
"11.11.2024","71,65","73,58","73,84","71,38","218,33K","-2,66%"
"08.11.2024","73,61","75,21","75,25","73,13","215,10K","-2,19%"
"07.11.2024","75,26","74,63","75,69","73,71","261,00K","0,93%"
"06.11.2024","74,57","74,85","75,58","72,98","260,13K","-0,76%"
"05.11.2024","75,14","74,58","75,79","74,47","167,72K","0,64%"
"04.11.2024","74,66","73,65","74,96","73,50","157,61K","2,65%"
"01.11.2024","72,73","73,71","74,50","72,51","177,63K","-0,11%"
"31.10.2024","72,81","72,51","74,28","71,82","391,91K","0,90%"
"30.10.2024","72,16","70,96","72,74","70,71","377,10K","2,02%"
"29.10.2024","70,73","71,56","72,11","70,28","381,25K","-0,38%"
"28.10.2024","71,00","72,36","72,92","70,82","471,15K","-6,12%"
"25.10.2024","75,63","74,30","75,73","73,81","276,76K","2,16%"
"24.10.2024","74,03","74,91","76,08","73,64","264,33K","-0,71%"
"23.10.2024","74,56","75,33","75,64","74,08","284,68K","-1,40%"
"22.10.2024","75,62","73,84","75,91","73,23","278,31K","2,30%"
"21.10.2024","73,92","72,78","74,21","72,43","204,62K","1,71%"
"18.10.2024","72,68","74,07","74,48","72,13","218,95K","-1,76%"
"17.10.2024","73,98","74,10","74,48","72,83","215,41K","0,26%"
"16.10.2024","73,79","74,31","74,52","73,05","226,56K","-0,12%"
"15.10.2024","73,88","74,94","75,25","73,05","316,07K","-4,16%"
"14.10.2024","77,09","78,05","78,05","74,55","244,07K","-1,92%"
"11.10.2024","78,60","78,56","78,97","77,55","228,65K","-0,33%"
"10.10.2024","78,86","76,27","79,14","76,27","226,41K","3,59%"
"09.10.2024","76,13","77,12","77,57","74,78","267,53K","-0,86%"
"08.10.2024","76,79","80,37","80,53","75,99","378,84K","-4,43%"
"07.10.2024","80,35","77,47","80,55","76,66","278,56K","3,77%"
"04.10.2024","77,43","77,25","78,58","76,88","311,93K","0,41%"
"03.10.2024","77,11","74,18","77,45","73,94","367,60K","4,85%"
"02.10.2024","73,54","74,05","75,67","73,24","270,49K","0,45%"
"01.10.2024","73,21","71,59","75,02","69,68","392,93K","2,11%"
"30.09.2024","71,70","71,88","72,79","71,03","455,39K","0,22%"
"27.09.2024","71,54","70,71","72,00","70,44","444,19K","0,63%"
"26.09.2024","71,09","72,89","73,28","70,25","703,39K","-2,48%"
"25.09.2024","72,90","74,44","74,67","72,50","574,80K","-2,11%"
"24.09.2024","74,47","73,43","75,12","73,26","367,56K","1,72%"
"23.09.2024","73,21","73,94","74,44","72,41","380,98K","-0,65%"
"20.09.2024","73,69","73,89","74,16","73,20","280,48K","-0,43%"
"19.09.2024","74,01","72,41","74,35","72,16","329,25K","1,55%"
"18.09.2024","72,88","73,02","73,33","71,65","318,36K","-0,18%"
"17.09.2024","73,01","72,31","73,55","71,62","291,02K","1,19%"
"16.09.2024","72,15","71,42","72,72","70,92","236,18K","1,55%"
"13.09.2024","71,05","71,74","72,57","70,90","255,58K","-0,53%"
"12.09.2024","71,43","70,15","72,25","70,14","364,75K","1,80%"
"11.09.2024","70,17","69,29","70,59","68,59","302,87K","1,95%"
"10.09.2024","68,83","71,44","71,79","68,29","350,50K","-3,55%"
"09.09.2024","71,36","71,02","71,81","70,27","264,87K","0,92%"
"06.09.2024","70,71","72,41","73,11","70,26","331,55K","-2,24%"
"05.09.2024","72,33","72,30","73,67","72,01","390,68K","0,07%"
"04.09.2024","72,28","73,24","74,24","71,94","437,45K","-1,39%"
"03.09.2024","73,30","76,35","76,78","73,07","486,37K","-4,47%"
"02.09.2024","76,73","76,23","76,84","75,55","147,81K","-0,26%"
"30.08.2024","76,93","78,66","79,52","76,70","469,57K","-2,40%"
"29.08.2024","78,82","77,47","79,57","77,01","502,31K","1,60%"
"28.08.2024","77,58","78,93","79,11","77,14","414,26K","-1,37%"
"27.08.2024","78,66","80,16","80,46","78,56","431,21K","-2,12%"
"26.08.2024","80,36","78,40","80,53","78,31","405,68K","2,83%"
"23.08.2024","78,15","76,56","78,37","76,38","274,66K","2,09%"
"22.08.2024","76,55","75,41","77,01","75,21","289,22K","1,39%"
"21.08.2024","75,50","76,52","77,53","75,10","276,72K","-1,41%"
"20.08.2024","76,58","77,12","77,74","76,10","308,17K","-0,67%"
"19.08.2024","77,10","78,79","79,02","76,90","289,44K","-2,24%"
"16.08.2024","78,87","79,99","80,12","77,88","218,33K","-1,62%"
"15.08.2024","80,17","79,19","80,56","78,86","190,11K","1,44%"
"14.08.2024","79,03","80,21","80,62","78,87","254,39K","-1,13%"
"13.08.2024","79,93","80,96","81,36","79,78","231,16K","-1,78%"
"12.08.2024","81,38","79,00","81,46","78,74","245,73K","3,12%"
"09.08.2024","78,92","78,36","79,06","78,10","138,80K","0,56%"
"08.08.2024","78,48","77,93","78,63","76,99","223,67K","1,04%"
"07.08.2024","77,67","75,73","78,19","75,52","301,45K","2,16%"
"06.08.2024","76,03","77,07","77,48","75,26","261,07K","0,09%"
"05.08.2024","75,96","77,00","77,15","74,62","355,58K","-0,41%"
"02.08.2024","76,27","79,37","79,84","75,89","288,83K","-3,39%"
"01.08.2024","78,95","80,87","81,09","78,87","214,95K","-2,34%"
"31.07.2024","80,84","78,56","81,59","78,46","513,54K","3,55%"
"30.07.2024","78,07","78,89","79,21","77,95","483,31K","-1,24%"
"29.07.2024","79,05","80,60","80,86","78,64","415,09K","-1,53%"
"26.07.2024","80,28","81,43","81,72","79,42","391,71K","-1,36%"
"25.07.2024","81,39","80,68","81,56","79,28","403,98K","0,71%"
"24.07.2024","80,82","80,53","81,29","80,09","331,71K","0,94%"
"23.07.2024","80,07","81,31","81,78","79,67","417,06K","-1,68%"
"22.07.2024","81,44","81,74","82,14","80,62","305,47K","-0,15%"
"19.07.2024","81,56","83,55","84,18","81,48","282,34K","-2,82%"
"18.07.2024","83,93","84,10","84,66","83,17","339,45K","-0,04%"
"17.07.2024","83,96","82,76","84,07","82,51","264,92K","1,40%"
"16.07.2024","82,80","83,82","83,90","82,39","225,15K","-1,31%"
"15.07.2024","83,90","84,07","84,44","83,50","156,37K","-0,24%"
"12.07.2024","84,10","84,65","85,20","84,03","274,92K","-0,38%"
"11.07.2024","84,42","84,55","85,01","83,78","291,93K","0,26%"
"10.07.2024","84,20","84,14","84,76","83,23","288,32K","0,37%"
"09.07.2024","83,89","84,93","85,09","83,76","212,48K","-1,29%"
"08.07.2024","84,99","85,89","85,99","84,80","184,17K","-0,84%"
"05.07.2024","85,71","86,55","87,05","85,67","166,12K","-0,99%"
"04.07.2024","86,57","86,27","86,72","85,72","99,70K","0,06%"
"03.07.2024","86,52","85,61","86,56","85,13","204,73K","1,26%"
"02.07.2024","85,44","85,80","86,50","85,37","279,89K","-0,33%"
"01.07.2024","85,72","84,11","85,98","84,06","268,46K","0,85%"
"28.06.2024","85,00","85,37","86,18","84,52","397,03K","-0,30%"
"27.06.2024","85,26","84,27","85,58","84,10","494,69K","0,94%"
"26.06.2024","84,47","84,10","85,03","83,72","446,48K","0,30%"
"25.06.2024","84,22","85,18","85,39","83,94","387,39K","-1,09%"
"24.06.2024","85,15","84,16","85,28","83,89","296,61K","0,97%"
"21.06.2024","84,33","84,78","85,30","83,95","347,88K","-0,62%"
"20.06.2024","84,86","84,40","85,14","84,19","296,40K","0,68%"
"19.06.2024","84,29","84,61","84,98","84,17","256,69K","-0,28%"
"18.06.2024","84,53","83,62","84,70","82,97","393,65K","1,21%"
"17.06.2024","83,52","82,07","83,79","81,54","331,53K","1,75%"
"14.06.2024","82,08","81,71","82,92","81,55","308,91K","-0,27%"
"13.06.2024","82,30","81,96","82,60","81,40","279,64K","0,18%"
"12.06.2024","82,15","81,75","82,90","81,57","260,33K","0,75%"
"11.06.2024","81,54","81,46","81,96","80,85","259,22K","0,38%"
"10.06.2024","81,23","79,18","81,73","79,08","238,25K","2,38%"
"07.06.2024","79,34","79,66","80,02","79,05","201,17K","-0,20%"
"06.06.2024","79,50","78,30","79,68","78,06","281,44K","1,87%"
"05.06.2024","78,04","77,08","78,28","76,94","257,85K","1,00%"
"04.06.2024","77,27","78,02","78,08","76,66","346,39K","-1,21%"
"03.06.2024","78,22","80,92","81,40","77,94","317,47K","-3,56%"
"31.05.2024","81,11","81,83","82,69","80,75","457,00K","-0,94%"
"30.05.2024","81,88","83,35","83,58","81,83","484,70K","-1,86%"
"29.05.2024","83,43","84,32","84,72","83,14","380,06K","-0,61%"
"28.05.2024","83,94","82,79","84,35","82,76","332,17K","1,28%"
"27.05.2024","82,88","81,94","82,96","81,84","92,28K","1,27%"
"24.05.2024","81,84","81,11","82,16","80,44","269,41K","0,90%"
"23.05.2024","81,11","81,39","82,70","80,70","347,12K","-0,65%"
"22.05.2024","81,64","82,44","82,49","81,39","339,47K","-1,28%"
"21.05.2024","82,70","83,51","83,53","81,93","370,47K","-0,91%"
"20.05.2024","83,46","83,79","84,17","82,89","276,00K","-0,20%"
"17.05.2024","83,63","83,04","83,69","82,74","243,75K","0,92%"
"16.05.2024","82,87","82,60","83,32","81,91","236,41K","0,66%"
"15.05.2024","82,33","82,26","82,63","80,72","265,83K","0,45%"
"14.05.2024","81,96","82,94","83,15","81,66","258,35K","-1,15%"
"13.05.2024","82,91","82,33","83,36","81,82","228,77K","0,67%"
"10.05.2024","82,36","83,65","83,97","82,26","219,86K","-1,18%"
"09.05.2024","83,34","83,20","83,69","82,90","205,48K","0,41%"
"08.05.2024","83,00","82,57","83,26","81,31","250,67K","0,34%"
"07.05.2024","82,72","83,17","83,40","82,02","252,50K","-0,14%"
"06.05.2024","82,84","82,49","83,27","82,26","129,70K","0,47%"
"03.05.2024","82,45","83,25","83,74","82,29","216,13K","-0,70%"
"02.05.2024","83,03","82,84","83,75","82,44","264,27K","0,29%"
"01.05.2024","82,79","85,10","85,20","82,66","307,37K","-4,10%"
"30.04.2024","86,33","87,10","87,80","85,45","418,50K","-1,00%"
"29.04.2024","87,20","87,96","88,22","86,95","365,24K","-1,14%"
"26.04.2024","88,21","87,99","88,64","87,62","311,64K","0,50%"
"25.04.2024","87,77","86,88","88,06","86,23","400,17K","0,84%"
"24.04.2024","87,04","87,42","87,80","86,66","307,90K","-0,40%"
