date,oil_price,open,max,min,Объём,change_percent
"23.01.2020","547,25","553,00","553,50","540,50","174,60K","-1,22%"
"22.01.2020","554,00","566,75","567,50","551,25","167,83K","-2,89%"
"21.01.2020","570,50","578,00","578,25","566,00","111,40K","-1,25%"
"20.01.2020","577,75","576,50","580,75","575,25","59,46K","1,36%"
"17.01.2020","570,00","573,00","577,00","567,25","142,77K","-1,21%"
"16.01.2020","577,00","577,00","579,25","572,00","132,14K","0,13%"
"15.01.2020","576,25","579,00","583,50","573,25","91,80K","-0,65%"
"14.01.2020","580,00","579,50","584,75","573,50","107,89K","0,43%"
"13.01.2020","577,50","591,25","593,25","576,50","84,16K","-2,74%"
"10.01.2020","593,75","594,00","598,00","587,75","92,96K","-0,21%"
"09.01.2020","595,00","600,75","603,00","590,00","120,30K","-2,14%"
"08.01.2020","608,00","627,75","640,00","594,50","177,08K","-1,70%"
"07.01.2020","618,50","617,25","622,50","612,75","107,74K","-0,40%"
"06.01.2020","621,00","635,00","643,00","616,50","143,04K","-0,72%"
"03.01.2020","625,50","617,50","642,00","616,00","115,13K","1,67%"
"02.01.2020","615,25","616,25","619,25","613,25","64,21K","-0,99%"
"01.01.2020","621,38","621,38","621,38","621,38","","1,24%"
"31.12.2019","613,75","621,00","622,75","612,00","45,02K","-1,41%"
"30.12.2019","622,50","624,00","631,00","616,75","56,18K","-0,44%"
"27.12.2019","625,25","624,75","627,00","621,50","52,14K","0,44%"
"26.12.2019","622,50","617,75","623,75","617,50","21,39K","1,22%"
"24.12.2019","615,00","612,75","618,75","611,25","33,78K","0,45%"
"23.12.2019","612,25","613,50","614,75","608,50","41,03K","-0,12%"
"20.12.2019","613,00","614,25","617,75","609,50","69,15K","-0,20%"
"19.12.2019","614,25","611,00","615,50","608,25","60,19K","0,78%"
"18.12.2019","609,50","612,25","613,75","607,75","60,07K","-0,49%"
"17.12.2019","612,50","606,50","614,00","604,50","62,54K","1,07%"
"16.12.2019","606,00","599,75","607,00","598,00","79,90K","1,76%"
"13.12.2019","595,50","592,25","604,00","591,25","76,97K","1,45%"
"12.12.2019","587,00","583,50","593,25","582,00","86,62K","1,25%"
"11.12.2019","579,75","588,75","589,25","577,75","123,19K","-1,86%"
"10.12.2019","590,75","585,50","593,75","582,25","108,96K","0,68%"
"09.12.2019","586,75","591,75","591,75","582,00","122,98K","-0,17%"
"06.12.2019","587,75","584,50","596,25","580,00","85,23K","0,60%"
"05.12.2019","584,25","583,50","588,00","577,00","94,53K","0,82%"
"04.12.2019","579,50","570,00","586,50","569,75","100,50K","1,67%"
"03.12.2019","570,00","570,25","574,50","565,00","108,59K","-0,83%"
"02.12.2019","574,75","567,75","581,75","567,75","78,06K","0,52%"
"29.11.2019","571,75","590,50","590,75","566,50","89,88K","-2,39%"
"28.11.2019","585,75","585,75","591,75","584,75","31,67K","-0,26%"
"27.11.2019","587,25","589,50","595,50","585,75","69,31K","-0,34%"
"26.11.2019","589,25","586,00","592,75","585,25","96,82K","1,12%"
"25.11.2019","582,75","584,25","587,00","580,00","59,67K","0,17%"
"22.11.2019","581,75","586,00","590,50","579,25","83,61K","0,47%"
"21.11.2019","579,00","569,75","587,25","567,50","81,38K","0,92%"
"20.11.2019","573,75","559,75","576,50","556,75","86,31K","1,15%"
